Age	L	M	S	Gender
11.583	-0.933	36.5432	0.17449	1
11.667	-0.918	36.8423	0.175	1
11.75	-0.903	37.149	0.1755	1
11.833	-0.887	37.4638	0.17599	1
11.917	-0.87	37.7877	0.17647	1
12	-0.852	38.122	0.17692	1
12.083	-0.834	38.4653	0.17736	1
12.167	-0.816	38.8201	0.17778	1
12.25	-0.796	39.185	0.1782	1
12.333	-0.776	39.5619	0.1786	1
12.417	-0.755	39.9494	0.179	1
12.5	-0.734	40.348	0.17938	1
12.583	-0.712	40.7577	0.17978	1
12.667	-0.69	41.1778	0.18017	1
12.75	-0.668	41.609	0.18057	1
12.833	-0.645	42.0509	0.18095	1
12.917	-0.622	42.5052	0.18135	1
13	-0.599	42.97	0.18173	1
13.083	-0.575	43.4457	0.1821	1
13.167	-0.552	43.932	0.18245	1
13.25	-0.53	44.428	0.18278	1
13.333	-0.507	44.9328	0.18307	1
13.417	-0.485	45.4445	0.18334	1
13.5	-0.463	45.963	0.18359	1
13.583	-0.442	46.4868	0.1838	1
13.667	-0.422	47.0153	0.18397	1
13.75	-0.403	47.547	0.18411	1
13.833	-0.384	48.081	0.18421	1
13.917	-0.367	48.6173	0.18427	1
14	-0.351	49.154	0.18428	1
14.083	-0.336	49.6907	0.18425	1
14.167	-0.322	50.2259	0.18415	1
14.25	-0.31	50.76	0.18399	1
14.333	-0.299	51.2915	0.18376	1
14.417	-0.289	51.8192	0.18346	1
14.5	-0.281	52.343	0.18309	1
14.583	-0.275	52.8618	0.18263	1
14.667	-0.269	53.375	0.18209	1
14.75	-0.266	53.883	0.18146	1
14.833	-0.263	54.385	0.18075	1
14.917	-0.263	54.8807	0.17995	1
15	-0.263	55.369	0.17908	1
15.083	-0.265	55.851	0.17813	1
15.167	-0.268	56.3242	0.1771	1
15.25	-0.272	56.7897	0.176	1
15.333	-0.278	57.2474	0.17482	1
15.417	-0.284	57.6966	0.17357	1
15.5	-0.292	58.138	0.17226	1
15.583	-0.3	58.5697	0.17087	1
15.667	-0.309	58.9933	0.16944	1
15.75	-0.319	59.4074	0.16797	1
15.833	-0.33	59.8116	0.16645	1
15.917	-0.341	60.2047	0.16491	1
16	-0.352	60.588	0.16336	1
16.083	-0.364	60.9597	0.1618	1
16.167	-0.376	61.3195	0.16025	1
16.25	-0.387	61.668	0.15872	1
16.333	-0.399	62.0053	0.15722	1
16.417	-0.411	62.3324	0.15576	1
16.5	-0.422	62.647	0.15434	1
16.583	-0.434	62.9519	0.15297	1
16.667	-0.445	63.2463	0.15166	1
16.75	-0.456	63.531	0.15041	1
16.833	-0.467	63.806	0.14922	1
16.917	-0.478	64.0717	0.14807	1
17	-0.489	64.329	0.14699	1
17.083	-0.5	64.5782	0.14596	1
17.167	-0.51	64.8187	0.14498	1
17.25	-0.52	65.051	0.14407	1
17.333	-0.53	65.2768	0.1432	1
17.417	-0.539	65.4933	0.14238	1
17.5	-0.549	65.704	0.14161	1
17.583	-0.558	65.9069	0.14088	1
17.667	-0.567	66.1033	0.1402	1
17.75	-0.575	66.292	0.13956	1
17.833	-0.583	66.4765	0.13896	1
17.917	-0.591	66.6541	0.13839	1
18	-0.599	66.824	0.13786	1
18.083	-0.606	66.9883	0.13735	1
18.167	-0.613	67.147	0.13688	1
18.25	-0.62	67.3	0.13643	1
18.333	-0.627	67.448	0.13601	1
18.417	-0.633	67.5898	0.13561	1
18.5	-0.639	67.728	0.13523	1
18.583	-0.645	67.8607	0.13488	1
18.667	-0.651	67.988	0.13453	1
18.75	-0.656	68.111	0.13422	1
18.833	-0.662	68.2298	0.13392	1
18.917	-0.667	68.3437	0.13363	1
19	-0.671	68.454	0.13335	1
19.083	-0.676	68.5595	0.1331	1
19.167	-0.68	68.6613	0.13284	1
19.25	-0.685	68.76	0.13261	1
19.333	-0.689	68.8555	0.13239	1
19.417	-0.693	68.9467	0.13217	1
19.5	-0.697	69.036	0.13197	1
19.583	-0.7	69.1223	0.13177	1
19.667	-0.704	69.2067	0.13158	1
19.75	-0.708	69.289	0.13139	1
19.833	-0.711	69.3693	0.13122	1
19.917	-0.714	69.447	0.13105	1
20	-0.718	69.524	0.13088	1
20.083	-0.721	69.5987	0.13071	1
20.167	-0.724	69.672	0.13056	1
20.25	-0.727	69.744	0.1304	1
20.333	-0.73	69.8149	0.13025	1
20.417	-0.733	69.8844	0.1301	1
20.5	-0.736	69.952	0.12996	1
20.583	-0.739	70.0196	0.12982	1
20.667	-0.741	70.0851	0.12968	1
20.75	-0.744	70.15	0.12955	1
20.833	-0.747	70.2127	0.12941	1
20.917	-0.749	70.2747	0.12929	1
21	-0.752	70.336	0.12916	1
21.083	-0.755	70.3957	0.12904	1
21.167	-0.757	70.4547	0.12892	1
21.25	-0.759	70.512	0.1288	1
21.333	-0.762	70.5692	0.12869	1
21.417	-0.764	70.6236	0.12857	1
21.5	-0.766	70.6781	0.12847	1
21.583	-0.769	70.7314	0.12836	1
21.667	-0.771	70.7838	0.12825	1
21.75	-0.773	70.834	0.12815	1
21.833	-0.775	70.8838	0.12806	1
21.917	-0.777	70.9334	0.12796	1
22	-0.779	70.982	0.12786	1
22.083	-0.781	71.0297	0.12776	1
22.167	-0.783	71.0773	0.12767	1
22.25	-0.785	71.124	0.12758	1
22.333	-0.787	71.1714	0.12749	1
22.417	-0.789	71.2176	0.12739	1
22.5	-0.791	71.2645	0.1273	1
22.583	-0.793	71.311	0.12721	1
22.667	-0.795	71.3573	0.12711	1
22.75	-0.797	71.404	0.12702	1
22.833	-0.799	71.4502	0.12693	1
22.917	-0.8	71.4964	0.12684	1
23	-0.802	71.538	0.12676	1
-0.326	1.101	0.5343	0.18168	2
-0.307	1.079	0.6428	0.1792	2
-0.287	1.056	0.7522	0.17673	2
-0.268	1.034	0.864	0.17422	2
-0.249	1.011	0.9805	0.17167	2
-0.23	0.987	1.1045	0.16905	2
-0.211	0.963	1.239	0.16635	2
-0.192	0.937	1.3882	0.16357	2
-0.172	0.911	1.5542	0.1607	2
-0.153	0.885	1.7366	0.15775	2
-0.134	0.857	1.9331	0.15476	2
-0.115	0.83	2.1408	0.15174	2
-0.096	0.801	2.3558	0.14871	2
