Age	L	M	S	Gender
9.167	1	54.229	0.02929	1
9.25	1	54.254	0.0293	1
9.333	1	54.279	0.02931	1
9.417	1	54.305	0.02932	1
9.5	1	54.33	0.02933	1
9.583	1	54.355	0.02933	1
9.667	1	54.38	0.02934	1
9.75	1	54.406	0.02935	1
9.833	1	54.431	0.02936	1
9.917	1	54.457	0.02937	1
10	1	54.482	0.02938	1
10.083	1	54.507	0.02938	1
10.167	1	54.533	0.02939	1
10.25	1	54.558	0.0294	1
10.333	1	54.584	0.02941	1
10.417	1	54.61	0.02942	1
10.5	1	54.635	0.02943	1
10.583	1	54.661	0.02943	1
10.667	1	54.687	0.02944	1
10.75	1	54.713	0.02945	1
10.833	1	54.74	0.02946	1
10.917	1	54.766	0.02946	1
11	1	54.793	0.02947	1
11.083	1	54.82	0.02948	1
11.167	1	54.846	0.02949	1
11.25	1	54.874	0.02949	1
11.333	1	54.902	0.0295	1
11.417	1	54.929	0.02951	1
11.5	1	54.956	0.02952	1
11.583	1	54.984	0.02952	1
11.667	1	55.012	0.02953	1
11.75	1	55.04	0.02954	1
11.833	1	55.069	0.02955	1
11.917	1	55.098	0.02955	1
12	1	55.126	0.02956	1
12.083	1	55.155	0.02957	1
12.167	1	55.184	0.02957	1
12.25	1	55.214	0.02958	1
12.333	1	55.243	0.02959	1
12.417	1	55.272	0.02959	1
12.5	1	55.302	0.0296	1
12.583	1	55.332	0.02961	1
12.667	1	55.362	0.02961	1
12.75	1	55.392	0.02962	1
12.833	1	55.422	0.02963	1
12.917	1	55.453	0.02963	1
13	1	55.484	0.02964	1
13.083	1	55.514	0.02964	1
13.167	1	55.546	0.02965	1
13.25	1	55.576	0.02966	1
13.333	1	55.608	0.02966	1
13.417	1	55.639	0.02967	1
13.5	1	55.67	0.02967	1
13.583	1	55.701	0.02968	1
13.667	1	55.732	0.02969	1
13.75	1	55.764	0.02969	1
13.833	1	55.795	0.0297	1
13.917	1	55.827	0.0297	1
14	1	55.858	0.02971	1
14.083	1	55.889	0.02971	1
14.167	1	55.921	0.02972	1
14.25	1	55.953	0.02972	1
14.333	1	55.983	0.02973	1
14.417	1	56.014	0.02973	1
14.5	1	56.046	0.02974	1
14.583	1	56.077	0.02974	1
14.667	1	56.108	0.02975	1
14.75	1	56.139	0.02975	1
14.833	1	56.17	0.02976	1
14.917	1	56.201	0.02976	1
15	1	56.232	0.02977	1
15.083	1	56.262	0.02977	1
15.167	1	56.293	0.02978	1
15.25	1	56.324	0.02978	1
15.333	1	56.354	0.02979	1
15.417	1	56.384	0.02979	1
15.5	1	56.414	0.0298	1
15.583	1	56.444	0.0298	1
15.667	1	56.474	0.0298	1
15.75	1	56.503	0.02981	1
15.833	1	56.533	0.02981	1
15.917	1	56.562	0.02982	1
16	1	56.591	0.02982	1
16.083	1	56.621	0.02983	1
16.167	1	56.65	0.02983	1
16.25	1	56.679	0.02984	1
16.333	1	56.707	0.02984	1
16.417	1	56.736	0.02984	1
16.5	1	56.764	0.02985	1
16.583	1	56.792	0.02985	1
16.667	1	56.821	0.02985	1
16.75	1	56.849	0.02986	1
16.833	1	56.876	0.02986	1
16.917	1	56.904	0.02987	1
17	1	56.932	0.02987	1
17.083	1	56.96	0.02987	1
17.167	1	56.987	0.02988	1
17.25	1	57.014	0.02988	1
17.333	1	57.041	0.02989	1
17.417	1	57.068	0.02989	1
17.5	1	57.095	0.02989	1
17.583	1	57.121	0.0299	1
17.667	1	57.148	0.0299	1
17.75	1	57.174	0.0299	1
17.833	1	57.201	0.02991	1
17.917	1	57.227	0.02991	1
18	1	57.26	0.02991	1
