Age	L	M	S	Gender
12.75	-1.763	17.881	0.11603	1
12.833	-1.759	17.933	0.11613	1
12.917	-1.755	17.985	0.11622	1
13	-1.75	18.037	0.11631	1
13.083	-1.746	18.089	0.11639	1
13.167	-1.742	18.142	0.11647	1
13.25	-1.738	18.194	0.11655	1
13.333	-1.733	18.247	0.11662	1
13.417	-1.729	18.3	0.11668	1
13.5	-1.724	18.354	0.11674	1
13.583	-1.72	18.407	0.1168	1
13.667	-1.715	18.46	0.11685	1
13.75	-1.711	18.514	0.1169	1
13.833	-1.707	18.567	0.11695	1
13.917	-1.702	18.621	0.11699	1
14	-1.697	18.675	0.11703	1
14.083	-1.693	18.729	0.11706	1
14.167	-1.689	18.783	0.1171	1
14.25	-1.684	18.836	0.11712	1
14.333	-1.68	18.89	0.11715	1
14.417	-1.675	18.944	0.11717	1
14.5	-1.671	18.997	0.11719	1
14.583	-1.666	19.051	0.11721	1
14.667	-1.661	19.104	0.11722	1
14.75	-1.657	19.158	0.11723	1
14.833	-1.652	19.211	0.11724	1
14.917	-1.648	19.264	0.11724	1
15	-1.643	19.317	0.11725	1
15.083	-1.639	19.37	0.11725	1
15.167	-1.635	19.423	0.11725	1
15.25	-1.63	19.475	0.11724	1
15.333	-1.626	19.528	0.11724	1
15.417	-1.621	19.579	0.11723	1
15.5	-1.617	19.632	0.11722	1
15.583	-1.612	19.683	0.11721	1
15.667	-1.608	19.735	0.11719	1
15.75	-1.603	19.786	0.11718	1
15.833	-1.599	19.837	0.11716	1
15.917	-1.595	19.887	0.11714	1
16	-1.59	19.938	0.11712	1
16.083	-1.586	19.988	0.1171	1
16.167	-1.582	20.038	0.11708	1
16.25	-1.577	20.087	0.11706	1
16.333	-1.573	20.137	0.11703	1
16.417	-1.569	20.186	0.117	1
16.5	-1.564	20.234	0.11698	1
16.583	-1.56	20.282	0.11695	1
16.667	-1.556	20.33	0.11692	1
16.75	-1.551	20.378	0.11689	1
16.833	-1.547	20.425	0.11686	1
16.917	-1.543	20.472	0.11683	1
17	-1.538	20.519	0.1168	1
17.083	-1.534	20.565	0.11677	1
17.167	-1.53	20.611	0.11674	1
17.25	-1.526	20.656	0.1167	1
17.333	-1.521	20.702	0.11667	1
17.417	-1.517	20.746	0.11663	1
17.5	-1.513	20.791	0.1166	1
17.583	-1.509	20.836	0.11657	1
17.667	-1.505	20.879	0.11653	1
17.75	-1.501	20.923	0.11649	1
17.833	-1.496	20.967	0.11646	1
17.917	-1.492	21.009	0.11642	1
18	-1.488	21.052	0.11639	1
18.083	-1.484	21.095	0.11635	1
18.167	-1.48	21.136	0.11631	1
18.25	-1.476	21.178	0.11628	1
18.333	-1.472	21.22	0.11624	1
18.417	-1.467	21.26	0.1162	1
18.5	-1.463	21.301	0.11617	1
18.583	-1.459	21.342	0.11613	1
18.667	-1.455	21.382	0.11609	1
18.75	-1.451	21.422	0.11605	1
18.833	-1.447	21.461	0.11602	1
18.917	-1.443	21.501	0.11598	1
19	-1.439	21.54	0.11594	1
19.083	-1.435	21.578	0.11591	1
19.167	-1.431	21.617	0.11587	1
19.25	-1.427	21.655	0.11583	1
19.333	-1.423	21.693	0.1158	1
19.417	-1.419	21.73	0.11576	1
19.5	-1.415	21.768	0.11572	1
19.583	-1.412	21.805	0.11569	1
19.667	-1.408	21.842	0.11565	1
19.75	-1.404	21.878	0.11561	1
19.833	-1.4	21.914	0.11558	1
19.917	-1.396	21.951	0.11554	1
20	-1.392	21.986	0.11551	1
20.083	-1.388	22.022	0.11547	1
20.167	-1.385	22.058	0.11543	1
20.25	-1.381	22.093	0.1154	1
20.333	-1.377	22.128	0.11537	1
20.417	-1.373	22.162	0.11533	1
20.5	-1.369	22.197	0.1153	1
20.583	-1.366	22.231	0.11526	1
20.667	-1.362	22.266	0.11523	1
20.75	-1.358	22.299	0.11519	1
20.833	-1.354	22.333	0.11516	1
20.917	-1.351	22.367	0.11513	1
21	-1.347	22.4	0.11509	1
21.083	-1.343	22.433	0.11506	1
21.167	-1.34	22.467	0.11503	1
21.25	-1.336	22.499	0.11499	1
21.333	-1.332	22.532	0.11496	1
21.417	-1.329	22.565	0.11493	1
21.5	-1.325	22.597	0.11489	1
