Age	L	M	S	Gender
15.167	1	169.84	0.0474	1
15.25	1	170.26	0.04703	1
15.333	1	170.67	0.04666	1
15.417	1	171.06	0.0463	1
15.5	1	171.43	0.04594	1
15.583	1	171.79	0.04558	1
15.667	1	172.14	0.04522	1
15.75	1	172.48	0.04488	1
15.833	1	172.79	0.04454	1
15.917	1	173.1	0.04421	1
16	1	173.39	0.04389	1
16.083	1	173.66	0.04358	1
16.167	1	173.93	0.04328	1
16.25	1	174.18	0.043	1
16.333	1	174.42	0.04273	1
16.417	1	174.64	0.04246	1
16.5	1	174.86	0.04222	1
16.583	1	175.06	0.04198	1
16.667	1	175.25	0.04175	1
16.75	1	175.43	0.04154	1
16.833	1	175.61	0.04134	1
16.917	1	175.77	0.04114	1
17	1	175.92	0.04096	1
17.083	1	176.07	0.04079	1
17.167	1	176.21	0.04063	1
17.25	1	176.33	0.04047	1
17.333	1	176.45	0.04033	1
17.417	1	176.57	0.0402	1
17.5	1	176.67	0.04008	1
17.583	1	176.76	0.03997	1
17.667	1	176.85	0.03987	1
17.75	1	176.92	0.03979	1
17.833	1	176.99	0.03971	1
17.917	1	177.04	0.03964	1
18	1	177.09	0.03958	1
18.083	1	177.13	0.03953	1
18.167	1	177.17	0.03948	1
18.25	1	177.2	0.03945	1
18.333	1	177.23	0.03942	1
18.417	1	177.25	0.0394	1
18.5	1	177.26	0.03938	1
18.583	1	177.27	0.03937	1
18.667	1	177.27	0.03936	1
18.75	1	177.28	0.03936	1
18.833	1	177.28	0.03936	1
18.917	1	177.28	0.03936	1
19	1	177.28	0.03935	1
19.083	1	177.29	0.03935	1
19.167	1	177.29	0.03934	1
19.25	1	177.29	0.03934	1
19.333	1	177.3	0.03934	1
19.417	1	177.3	0.03934	1
19.5	1	177.3	0.03934	1
19.583	1	177.3	0.03933	1
19.667	1	177.3	0.03933	1
19.75	1	177.31	0.03932	1
19.833	1	177.32	0.03931	1
19.917	1	177.33	0.0393	1
20	1	177.34	0.03929	1
20.083	1	177.36	0.03927	1
20.167	1	177.37	0.03925	1
20.25	1	177.39	0.03924	1
20.333	1	177.41	0.03922	1
20.417	1	177.43	0.0392	1
20.5	1	177.44	0.03918	1
20.583	1	177.46	0.03915	1
20.667	1	177.49	0.03913	1
20.75	1	177.5	0.03911	1
20.833	1	177.52	0.03909	1
20.917	1	177.55	0.03907	1
21	1	177.57	0.03904	1
21.083	1	177.59	0.03902	1
21.167	1	177.61	0.039	1
21.25	1	177.63	0.03897	1
21.333	1	177.66	0.03895	1
21.417	1	177.68	0.03892	1
21.5	1	177.7	0.0389	1
21.583	1	177.73	0.03887	1
21.667	1	177.75	0.03884	1
21.75	1	177.77	0.03882	1
21.833	1	177.8	0.03879	1
21.917	1	177.82	0.03876	1
22	1	177.85	0.03873	1
22.083	1	177.88	0.03871	1
22.167	1	177.91	0.03867	1
22.25	1	177.94	0.03864	1
22.333	1	177.97	0.03861	1
22.417	1	178	0.03858	1
22.5	1	178.03	0.03854	1
22.583	1	178.06	0.03851	1
22.667	1	178.09	0.03847	1
22.75	1	178.13	0.03843	1
22.833	1	178.16	0.0384	1
22.917	1	178.2	0.03836	1
23	1	178.23	0.03833	1
-0.134	1	44.56	0.03919	2
-0.115	1	45.37	0.03891	2
-0.096	1	46.18	0.03864	2
